url,title,price_dkk,desc,location,date,condition_text
https://www.dba.dk/recommerce/forsale/item/9416406,Sage oracle espresso maskine,4750,,,,
https://www.dba.dk/recommerce/forsale/item/3458498,"Espresso maskine , Swan",650,,,,Not specified
https://www.dba.dk/recommerce/forsale/item/14769358,Siemens eq500 tp513r09 espresso maskine,3000,,,,
